Fagkode;Fylke;Skolenavn;20-21.SE.G.SK;20-21.SE.G.AE;20-21.SE.J.SK;20-21.SE.J.AE;20-21.SP.G.SK;20-21.SP.G.AE;20-21.SP.J.SK;20-21.SP.J.AE;21-22.SE.G.SK;21-22.SE.G.AE;21-22.SE.J.SK;21-22.SE.J.AE;21-22.SP.G.SK;21-22.SP.G.AE;21-22.SP.J.SK;21-22.SP.J.AE;22-23.SE.G.SK;22-23.SE.G.AE;22-23.SE.J.SK;22-23.SE.J.AE;22-23.SP.G.SK;22-23.SP.G.AE;22-23.SP.J.SK;22-23.SP.J.AE;23-24.SE.G.SK;23-24.SE.G.AE;23-24.SE.J.SK;23-24.SE.J.AE;23-24.SP.G.SK;23-24.SP.G.AE;23-24.SP.J.SK;23-24.SP.J.AE;24-25.SE.G.SK;24-25.SE.G.AE;24-25.SE.J.SK;24-25.SE.J.AE;24-25.SP.G.SK;24-25.SP.G.AE;24-25.SP.J.SK;24-25.SP.J.AE
NOR1267;Alle fylker;Alle skoler;;;;;;;;;;;;;;;;;4,1;2 790;4,5;3 851;3,9;10 452;4,4;13 082;3,5;10 227;3,9;13 179;3,9;10 377;4,4;13 359;3,5;10 147;3,9;12 879;3,9;10 257;4,4;12 994
NOR1267;Alle fylker;Alle skoler;;;;;;;;;;;;;;;;;4,1;2 790;4,5;3 851;3,9;10 452;4,4;13 082;3,5;10 227;3,9;13 179;3,9;10 377;4,4;13 359;3,5;10 147;3,9;12 879;3,9;10 257;4,4;12 994
NOR1267;Agder;Alle skoler;;;;;;;;;;;;;;;;;4,2;99;4,9;160;3,7;544;4,4;700;3,5;533;3,8;654;3,8;539;4,2;658;3,5;480;3,9;726;3,9;482;4,4;730
NOR1267;Agder;Akademiet Kristiansand AS;;;;;;;;;;;;;;;;;*;*;*;*;3,7;13;4,3;11;*;*;*;*;*;*;*;*;3,2;6;3,7;12;3,3;6;4,3;12
NOR1267;Agder;Arendal videregående skole avd Tyholmen;;;;;;;;;;;;;;;;;4,2;14;*;*;*;*;4,4;71;3,6;71;3,9;75;3,7;72;4,4;75;*;*;*;*;*;*;*;*
NOR1267;Agder;Dahlske videregående skole;;;;;;;;;;;;;;;;;4,9;11;*;*;*;*;*;*;3,8;47;3,7;52;3,6;48;3,8;52;*;*;*;*;*;*;*;*
NOR1267;Agder;Drottningborg Vgs AS;;;;;;;;;;;;;;;;;*;*;*;*;4,2;21;4,3;46;3,3;24;4,0;41;3,8;24;4,3;41;3,8;23;4,0;41;3,6;23;4,0;42
NOR1267;Agder;Eilert Sundt videregående skole Studiested Farsund;;;;;;;;;;;;;;;;;*;*;*;*;3,7;26;4,6;31;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
NOR1267;Agder;Flekkefjord videregående skole Studiested Flekkefjord;;;;;;;;;;;;;;;;;*;*;*;*;*;*;*;*;3,2;21;*;*;3,9;21;*;*;3,5;27;3,7;35;4,3;27;4,8;36
NOR1267;Agder;Kristiansand katedralskole Gimle;;;;;;;;;;;;;;;;;4,0;26;5,0;36;3,6;141;4,5;133;3,7;135;4,0;119;4,1;136;4,4;121;3,7;98;4,0;152;4,2;99;4,6;152
NOR1267;Agder;Kvs-Lyngdal AS;;;;;;;;;;;;;;;;;*;*;*;*;4,4;16;4,8;38;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
NOR1267;Agder;Lillesand videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;3,2;22;4,4;31;3,9;21;3,7;26;4,2;22;4,0;26;3,6;28;4,0;26;4,3;28;4,7;26
NOR1267;Agder;Mandal videregående skole;;;;;;;;;;;;;;;;;*;*;4,8;11;3,8;33;4,2;44;3,7;34;4,1;47;3,9;34;4,2;47;3,5;18;3,8;55;3,5;18;3,9;55
NOR1267;Agder;Oasen videregående skole AS;;;;;;;;;;;;;;;;;*;*;;;*;*;*;*;;;*;*;;;*;*;*;*;*;*;*;*;*;*
NOR1267;Agder;Risør videregående skole;;;;;;;;;;;;;;;;;;;*;*;*;*;*;*;3,3;14;*;*;3,6;14;*;*;3,2;11;3,9;12;3,7;11;4,8;12
NOR1267;Agder;Setesdal vidaregåande skule;;;;;;;;;;;;;;;;;;;*;*;3,6;16;4,0;27;3,3;20;4,1;20;3,3;20;4,1;20;3,8;25;4,2;26;3,7;26;4,1;26
NOR1267;Agder;Smi-Skolen i Agder;;;;;;;;;;;;;;;;;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
NOR1267;Agder;Tangen videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;3,5;28;4,2;46;2,9;27;3,5;57;3,4;27;4,1;58;3,3;28;3,8;60;3,7;28;4,4;60
NOR1267;Agder;Tvedestrand videregående skole;;;;;;;;;;;;;;;;;4,3;8;*;*;3,8;23;4,2;26;4,4;7;3,9;22;4,3;8;4,2;22;*;*;3,8;28;*;*;4,5;29
NOR1267;Agder;Vennesla videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;3,4;19;4,4;23;3,1;24;3,5;22;4,5;24;4,6;22;3,8;16;3,9;11;3,6;16;4,2;11
NOR1267;Agder;Vågsbygd videregående skole;;;;;;;;;;;;;;;;;*;*;4,9;9;3,8;44;4,4;58;3,3;40;3,8;41;3,5;40;4,2;41;3,2;48;3,7;46;3,9;48;4,5;46
NOR1267;Akershus;Alle skoler;;;;;;;;;;;;;;;;;;;;;;;;;3,5;1 795;3,9;1 947;4,0;1 815;4,4;1 968;3,5;1 855;3,9;2 042;3,9;1 871;4,4;2 057
NOR1267;Akershus;Akademiet Vgs Sandvika AS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;*;*;*;*;*;*;*;*
NOR1267;Akershus;Asker videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;4,5;76;4,8;98;4,0;67;4,4;97;4,6;67;4,9;99;3,9;87;4,1;123;4,3;87;4,7;124
NOR1267;Akershus;Bjertnes videregående skole;;;;;;;;;;;;;;;;;4,4;7;5,1;10;3,6;60;4,2;63;4,1;69;4,0;72;4,0;69;4,4;73;3,5;58;4,0;62;3,6;58;4,3;62
NOR1267;Akershus;Bjørkelangen videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;3,6;26;4,3;33;3,4;30;3,6;45;3,6;30;4,2;46;3,5;28;3,9;25;3,6;28;3,9;25
NOR1267;Akershus;Dønski videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;3,8;44;3,9;32;3,0;28;3,5;24;3,8;28;4,1;24;3,2;43;3,5;25;3,4;43;3,8;26
NOR1267;Akershus;Eidsvoll videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;4,4;17;4,6;24;3,7;35;3,7;40;4,1;36;4,3;40;3,0;24;3,3;36;3,9;24;4,4;36
NOR1267;Akershus;Eikeli videregående skole;;;;;;;;;;;;;;;;;4,1;22;4,4;7;3,3;82;4,0;45;3,2;115;3,7;58;3,4;116;3,7;58;3,5;99;3,9;80;3,5;100;3,9;81
NOR1267;Akershus;Feiring videregående skole AS;;;;;;;;;;;;;;;;;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
NOR1267;Akershus;Frogn videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;4,0;60;4,3;76;3,4;60;3,6;67;4,0;62;4,3;68;3,5;61;3,3;50;3,9;61;4,1;50
NOR1267;Akershus;Hoppensprett Akademiet Vgs Jessheim AS;;;;;;;;;;;;;;;;;;;*;*;4,0;14;4,8;20;3,0;25;2,8;20;3,9;25;4,6;20;2,7;32;2,8;16;4,0;32;4,1;16
NOR1267;Akershus;Jessheim videregående skole;;;;;;;;;;;;;;;;;4,2;18;4,3;20;4,0;78;4,5;104;3,5;63;3,8;105;3,9;65;4,4;106;3,4;82;3,9;115;3,9;82;4,6;115
NOR1267;Akershus;Lillestrøm videregående skole;;;;;;;;;;;;;;;;;4,9;9;5,5;28;4,3;65;4,7;103;3,7;65;4,2;87;4,5;66;5,1;88;3,8;74;4,3;92;4,5;74;5,0;93
NOR1267;Akershus;Lørenskog videregående skole;;;;;;;;;;;;;;;;;4,4;19;4,9;21;4,4;50;4,6;81;3,5;79;3,7;70;4,1;80;4,4;71;3,7;65;3,8;87;4,3;65;4,6;88
NOR1267;Akershus;Mailand videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;3,8;50;4,4;92;*;*;*;*;*;*;*;*;3,2;60;3,7;83;3,7;61;4,2;83
NOR1267;Akershus;Nadderud videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;4,6;54;4,8;93;4,3;55;4,5;83;4,6;55;4,8;84;4,2;55;4,3;89;4,4;55;4,7;90
NOR1267;Akershus;Nannestad videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;4,1;46;4,7;37;3,5;34;3,8;39;4,0;34;4,2;39;2,7;44;3,2;40;3,3;45;4,0;41
NOR1267;Akershus;Nes videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;4,0;20;4,4;33;3,4;19;3,9;34;3,2;19;3,9;35;*;*;*;*;*;*;*;*
NOR1267;Akershus;Nesbru videregående skole;;;;;;;;;;;;;;;;;3,4;17;3,6;7;3,5;92;4,0;79;3,9;103;4,0;88;3,7;105;4,1;89;3,3;98;3,6;81;3,3;99;3,9;81
NOR1267;Akershus;Nesodden videregående skole;;;;;;;;;;;;;;;;;5,5;6;5,0;6;4,1;55;4,5;37;3,6;51;4,0;42;4,2;51;4,4;42;3,4;56;3,7;47;3,8;59;4,5;47
NOR1267;Akershus;Norges Realfagsgymnas Sandvika AS;;;;;;;;;;;;;;;;;*;*;*;*;4,3;13;4,8;10;*;*;*;*;*;*;*;*;3,6;25;4,5;12;3,4;25;4,8;12
NOR1267;Akershus;Norges Toppidrettsgymnas Bærum AS;;;;;;;;;;;;;;;;;3,5;84;4,0;35;4,3;84;4,9;35;3,1;80;3,7;30;4,2;81;4,7;30;3,6;83;4,0;37;4,3;84;4,6;37
NOR1267;Akershus;Roald Amundsen videregående skole;;;;;;;;;;;;;;;;;*;*;4,0;10;3,9;61;4,0;44;3,6;56;3,9;53;4,4;58;4,9;53;3,5;54;3,8;58;3,6;54;4,1;58
